word,weight
путин,100
путина,100
путину,100
путиным,100
путине,100
putin,100
медведев,100
медведева,100
медведеву,100
медведевым,100
медведеве,100
medvedev,100
ельцин,100
ельцина,100
ельцину,100
ельциным,100
ельцине,100
eltsin,100
горбачев,100
горбачева,100
горбачеву,100
горбачевым,100
горбачеве,100
gorbachev,100
черненко,100
андропов,100
андропова,100
андропову,100
андроповым,100
андропове,100
брежнев,100
брежнева,100
брежневу,100
брежневым,100
брежневе,100
хрущев,100
хрущева,100
хрущеву,100
хрущевым,100
хрущеве,100
сталин,100
сталина,100
сталину,100
сталиным,100
сталине,100
берия,100
берию,100
берии,100
джугашвили,100
жириновский,100
жириновского,100
жириновскому,100
жириновским,100
жириновском,100
жирик,100
жирика,100
жирику,100
жириком,100
жирике,100
грызлов,100
грызлова,100
грызлову,100
грызловым,100
грызлове,100
янукович,100
януковича,100
януковичу,100
януковичем,100
януковиче,100
ющенко,100
тимошенко,100
лукашенко,100
бацька,100
бацьку,100
бацьке,100
бацькой,100
обама,100
обаме,100
обаму,100
обамой,100
обаме,100
obama,100
obamas,100
буш,100
буша,100
бушу,100
бушем,100
буше,100
bush,100
bushs,100
bush,100
клинтон,100
клинтона,100
клинтону,100
клинтоном,100
клинтоне,100
clinton,100
clintons,100
рузвельт,100
рузвельта,100
рузвельту,100
рузвельтом,100
рузвельте,100
roosevelt,100
roosevelts,100
черчилль,100
черчилля,100
черчиллю,100
черчиллем,100
черчилле,100
churchill,100
меркель,100
merkel,100
саркози,100
sarkozy,100
берлускони,100
berlusconi,100
муаммар,100
муаммара,100
муаммару,100
муаммаром,100
муаммаре,100
каддафи,100
ходарковский,100
ходарковского,100
ходарковским,100
ходарковскому,100
ходарковском,100
лимонов,100
лимонова,100
лимонову,100
лимоновым,100
лимонове,100
limonov,100
limonovs,100
касьянов,100
касьянова,100
касьянову,100
касьяновым,100
касьянове,100
касьянов,100
новодворская,100
новодворскую,100
новодворской,100
умаров,100
умарова,100
умарову,100
умаровым,100
умарове,100
закаев,100
закаева,100
закаеву,100
закаевым,100
закаеве,100
березовский,100
березовского,100
березовским,100
березовскому,100
березовском,100
прохоров,100
прохорова,100
прохорову,100
прохоровым,100
прохорове,100
потанин,100
потанина,100
потанину,100
потаниным,100
потанине,100
усманов,100
усманова,100
усманову,100
усмановым,100
усманове,100
абрамович,100
абрамовича,100
абрамовичу,100
абрамовичем,100
абрамовиче,100
гитлер,100
гитлера,100
гитлеру,100
гитлером,100
гитлере,100
саакашвилли,100
назарбаев,100
назарбаева,100
назарбаеву,100
назарбаевым,100
назарбаеве,100
петрик,100
петрика,100
петрику,100
петриком,100
петрике,100
навальный,100
навального,100
навальному,100
навальным,100
навальном,100
президент,100
президенты,100
президента,100
президенту,100
президентом,100
президенте,100
президентский,100
президентская,100
президентское,100
президентским,100
президентской,100
президентского,100
президентскую,100
премьер,100
премьеры,100
премьера,100
премьеру,100
премьером,100
премьере,100
премьерский,100
премьерская,100
премьерское,100
премьерским,100
премьерской,100
премьерского,100
премьерскую,100
премьер-министр,100
премьер-министры,100
премьер-министра,100
премьер-министру,100
премьер-министром,100
премьер-министре,100
премьер-министерский,100
премьер-министерская,100
премьер-министерское,100
премьер-министерским,100
премьер-министерской,100
премьер-министерского,100
премьер-министерскую,100
рашка,100
рашку,100
рашке,100
рашкой,100
рашкинский,100
рашкинская,100
рашкинское,100
рашкинским,100
рашкинской,100
рашкинского,100
рашкинскую,100
русня,100
русню,100
русне,100
русней,100
хохлостан,100
хохлостана,100
хохлостану,100
хохлостаном,100
хохлостане,100
хохлостанский,100
хохлостанская,100
хохлостанское,100
хохлостанским,100
хохлостанской,100
хохлостанского,100
хохлостанскую,100
хохляндия,100
хохляндию,100
хохляндии,100
хохляндией,100
хохляндский,100
хохляндская,100
хохляндское,100
хохляндским,100
хохляндской,100
хохляндского,100
хохляндскую,100
хохол,100
хохлы,100
хохла,100
хохлу,100
хохлом,100
хохле,100
хохлушка,100
хохлушку,100
хохлушке,100
хохлушкой,100
хохловский,100
хохловская,100
хохловское,100
хохловским,100
хохловской,100
хохловского,100
хохловскую,100
белорашка,100
белорашку,100
белорашке,100
белорашкой,100
белорашкинский,100
белорашкинская,100
белорашкинское,100
белорашкинским,100
белорашкинской,100
белорашкинского,100
белорашкинскую,100
либераст,100
либерасты,100
либераста,100
либерасту,100
либерастом,100
либерастка,100
либерастку,100
либерастке,100
либерасткой,100
либерасте,100
либерастический,100
либерастическая,100
либерастическое,100
либерастическим,100
либерастической,100
либерастического,100
либерастическую,100
либерал,100
либералы,100
либерала,100
либералу,100
либералом,100
либерале,100
либералка,100
либералку,100
либералке,100
либералкой,100
либеральный,100
либеральная,100
либерасльное,100
либеральным,100
либеральной,100
либерального,100
либеральную,100
поцреот,100
поцреоты,100
поцреота,100
поцреоту,100
поцреотом,100
поцреоте,100
поцреотка,100
поцреотку,100
поцреотке,100
поцреоткой,100
поцреотический,100
поцреотическая,100
поцреотическое,100
поцреотическим,100
поцреотической,100
поцреотического,100
поцреотическую,100
патриот,100
патриоты,100
патриота,100
патриоту,100
патриотом,100
патриоте,100
патриотка,100
патриотку,100
патриотке,100
